Time    Pdcmap    Quarter
     572.450977       0.988279       7.000000
     572.471410       0.988513       7.000000
     572.491843       0.988265       7.000000
     572.512276       0.988296       7.000000
     572.532709       0.988302       7.000000
     572.553142       0.988076       7.000000
     572.573575       0.988401       7.000000
     572.594008       0.988335       7.000000
     572.614441       0.988262       7.000000
     572.634874       0.988405       7.000000
     572.655307       0.988181       7.000000
     572.675740       0.988319       7.000000
     572.696173       0.988479       7.000000
     572.716606       0.988417       7.000000
     572.737038       0.988176       7.000000
     572.757471       0.988289       7.000000
     572.777904       0.988549       7.000000
     572.798337       0.988576       7.000000
     572.818770       0.988378       7.000000
     572.839203       0.988334       7.000000
     572.859636       0.988214       7.000000
     572.880069       0.988175       7.000000
     572.900502       0.988179       7.000000
     572.920935       0.988284       7.000000
     572.941368       0.988403       7.000000
     572.961801       0.988244       7.000000
     572.982234       0.988463       7.000000
     573.002667       0.988119       7.000000
     573.023100       0.988518       7.000000
     573.043533       0.988408       7.000000
     573.063966       0.988202       7.000000
     573.084399       0.988388       7.000000
     573.104832       0.988221       7.000000
     573.125265       0.988450       7.000000
     573.145698       0.988218       7.000000
     573.166131       0.988364       7.000000
     573.186564       0.988261       7.000000
     573.206997       0.988176       7.000000
     573.227430       0.988378       7.000000
     573.247862       0.988444       7.000000
     573.268295       0.988454       7.000000
     573.288728       0.988340       7.000000
     573.309161       0.988365       7.000000
     573.329594       0.988417       7.000000
     573.350027       0.988316       7.000000
     573.370460       0.988201       7.000000
     573.390893       0.988366       7.000000
     573.411326       0.988301       7.000000
     573.431759       0.988353       7.000000
     573.452192       0.988300       7.000000
     573.472625       0.988224       7.000000
     573.493058       0.988218       7.000000
     573.513491       0.988509       7.000000
     573.533924       0.988247       7.000000
     573.554357       0.988465       7.000000
     573.574790       0.988314       7.000000
     573.595223       0.988384       7.000000
     573.615656       0.988379       7.000000
     573.636089       0.988124       7.000000
     573.656522       0.988179       7.000000
     573.676954       0.988148       7.000000
     573.697387       0.988350       7.000000
     573.717820       0.988459       7.000000
     573.738253       0.988408       7.000000
     573.758686       0.988393       7.000000
     573.779119       0.988456       7.000000
     573.799552       0.988127       7.000000
     573.819985       0.988282       7.000000
     573.840418       0.988230       7.000000
     573.860851       0.988368       7.000000
     573.881284       0.988730       7.000000
     573.901717       0.988163       7.000000
     573.922150       0.988487       7.000000
     573.942583       0.988322       7.000000
     573.963016       0.988342       7.000000
     573.983449       0.988221       7.000000
     574.003882       0.988424       7.000000
     574.024315       0.988436       7.000000
     574.044748       0.988314       7.000000
     574.065181       0.988224       7.000000
     574.085614       0.988622       7.000000
     574.106047       0.988611       7.000000
     574.126480       0.988486       7.000000
     574.146912       0.988290       7.000000
     574.167345       0.988325       7.000000
     574.208211       0.988276       7.000000
     574.228644       0.988307       7.000000
     574.249077       0.988228       7.000000
     574.269510       0.988299       7.000000
     574.289943       0.988456       7.000000
     574.310376       0.988629       7.000000
     574.330809       0.988375       7.000000
     574.351242       0.988292       7.000000
     574.371675       0.988407       7.000000
     574.392108       0.988335       7.000000
     574.412541       0.988452       7.000000
     574.432974       0.988278       7.000000
     574.453407       0.988360       7.000000
     574.473840       0.988699       7.000000
     574.494273       0.988461       7.000000
     574.514705       0.988299       7.000000
     574.535139       0.988743       7.000000
     574.555571       0.988456       7.000000
     574.576005       0.988609       7.000000
     574.596437       0.988511       7.000000
     574.616870       0.988376       7.000000
     574.637303       0.988353       7.000000
     574.657736       0.988356       7.000000
     574.678169       0.988225       7.000000
     574.698602       0.988493       7.000000
     574.719035       0.988652       7.000000
     574.739468       0.988111       7.000000
     574.759901       0.988412       7.000000
     574.780334       0.988378       7.000000
     574.800767       0.988373       7.000000
     574.821200       0.988478       7.000000
     574.841633       0.988250       7.000000
     574.862066       0.988535       7.000000
     574.882499       0.988452       7.000000
     574.902932       0.988391       7.000000
     574.923365       0.988123       7.000000
     574.943798       0.988293       7.000000
     574.964230       0.988415       7.000000
     574.984663       0.988319       7.000000
     575.005096       0.988615       7.000000
     575.025529       0.988933       7.000000
     575.045962       0.988214       7.000000
     575.066395       0.988514       7.000000
     575.086828       0.988543       7.000000
     575.107261       0.988344       7.000000
     575.127694       0.988071       7.000000
     575.148127       0.988543       7.000000
     575.168560       0.988384       7.000000
     575.188993       0.988382       7.000000
     575.209426       0.988334       7.000000
     575.229859       0.988494       7.000000
     575.250292       0.988455       7.000000
     575.270725       0.988497       7.000000
     575.291158       0.988524       7.000000
     575.311591       0.988279       7.000000
     575.332024       0.988591       7.000000
     575.352457       0.988208       7.000000
     575.372889       0.988590       7.000000
     575.393322       0.988498       7.000000
     575.413755       0.988357       7.000000
     575.434188       0.988504       7.000000
     575.454621       0.988543       7.000000
     575.475054       0.988280       7.000000
     575.495487       0.988293       7.000000
     575.515920       0.988374       7.000000
     575.536353       0.988615       7.000000
     575.556786       0.988429       7.000000
     575.577219       0.988339       7.000000
     575.597652       0.988390       7.000000
     575.618085       0.988292       7.000000
     575.638518       0.988496       7.000000
     575.658951       0.988196       7.000000
     575.679384       0.988551       7.000000
     575.699817       0.988365       7.000000
     575.720249       0.988338       7.000000
     575.740683       0.988426       7.000000
     575.761115       0.988509       7.000000
     575.781548       0.988378       7.000000
     575.801981       0.988321       7.000000
     575.822414       0.988506       7.000000
     575.842847       0.988352       7.000000
     575.863280       0.988432       7.000000
     575.883713       0.988751       7.000000
     575.904146       0.988307       7.000000
     575.924579       0.988513       7.000000
     575.945012       0.988835       7.000000
     575.965445       0.988293       7.000000
     575.985878       0.988414       7.000000
     576.006311       0.988695       7.000000
     576.026744       0.988475       7.000000
     576.047177       0.988478       7.000000
     576.067610       0.988446       7.000000
     576.088042       0.988627       7.000000
     576.108475       0.988446       7.000000
     576.128908       0.988447       7.000000
     576.149341       0.988314       7.000000
     576.169774       0.988440       7.000000
     576.190207       0.988511       7.000000
     576.210640       0.988167       7.000000
     576.231073       0.988420       7.000000
     576.251506       0.988344       7.000000
     576.271939       0.988416       7.000000
     576.292372       0.988432       7.000000
     576.312805       0.988386       7.000000
     576.333238       0.988270       7.000000
     576.353671       0.988533       7.000000
     576.374104       0.988405       7.000000
     576.394537       0.988501       7.000000
