Time,Flux,Quarter
57.156383353416459,1.00015,0.0
57.176817698709783,0.999869,0.0
57.197251843885169,0.999906,0.0
57.238120334113773,0.999989,0.0
57.25855457905709,1.00007,0.0
57.278988823876716,0.999971,0.0
57.299423068703618,0.999907,0.0
57.319857413414866,0.999753,0.0
57.340291558008175,0.999594,0.0
57.36072580259497,1.00007,0.0
57.401594291426591,0.999999,0.0
57.422028535671416,0.999844,0.0
57.442462779799826,0.999817,0.0
57.462897123921721,0.999919,0.0
57.483331268049369,1.0,0.0
57.503765511944948,1.0,0.0
57.524199655839766,1.00025,0.0
57.544633999612415,1.00026,0.0
57.565068243275164,0.999907,0.0
57.585502386820735,0.99959,0.0
57.626370973790472,0.999996,0.0
57.646805217096698,1.00003,0.0
57.66723936040944,1.00003,0.0
